TAMANHO_REGISTRO:136|LIVRE:-1
DELIM_CAMPO:|                                                                                                                           
name|episodes|votes|weight|rate|genres                                                                                                  
Our love has always been 10 centimeters apart.|6|38|171|4.5|Drama, Romance                                                              
Hayate the Combat Butler!|24|38|163|4.29|Action, Comedy, Harem, Romance, Slice Of Life                                                  
Clean Freak! Aoyama kun|12|38|136|3.58|Comedy, Slice Of Life, Sports                                                                    
RErideD - Derrida, who leaps through time|12|38|113|2.97|Action, Drama, Post-Apocalyptic, Sci-Fi, Seinen                                
Natsume Yuujinchou 6|13|37|184|4.97|Drama, Fantasy, Slice Of Life, Supernatural                                                         
MOBILE SUIT GUNDAM 00|50|37|174|4.7|Action, Mecha, Sci-Fi                                                                               
WATATEN!: an Angel Flew Down to Me|13|37|170|4.59|Comedy, Slice Of Life                                                                 
Sanrio Boys|12|37|163|4.41|Comedy, Shojo, Slice Of Life                                                                                 
Magimoji Rurumo|14|37|161|4.35|Comedy, Supernatural                                                                                     
Hakuoki Reimeiroku|12|37|160|4.32|                                                                                                      
Day Break Illusion|13|37|154|4.16|Action, Fantasy, Magical Girls                                                                        
Celestial Method|13|37|152|4.11|Fantasy, Slice Of Life                                                                                  
Yuuna and the Haunted Hot Springs|12|37|144|3.89|Comedy, Harem, Shonen, Supernatural                                                    
Katsugeki TOUKEN RANBU|13|37|141|3.81|Action, Fantasy, Historical                                                                       
Room Mate|12|37|94|2.54|Harem, Romance, Slice Of Life                                                                                   
Today's Menu for the Emiya Family|13|36|174|4.83|Seinen, Slice Of Life                                                                  
Angolmois: Record of Mongol Invasion|12|36|166|4.61|Action, Historical                                                                  
GeGeGe no Kitaro|95|36|160|4.44|Action, Adventure, Comedy, Fantasy, Shonen, Supernatural                                                
Fastest Finger First|12|36|140|3.89|Comedy, Seinen, Sports                                                                              
MEGANEBU!|0|36|131|3.64|Comedy, Slice Of Life                                                                                           
Komori-san Can't Decline!|13|36|120|3.33|Comedy, Slice Of Life                                                                          
Joshi Kausei|12|36|117|3.25|Comedy, Slice Of Life                                                                                       
Darwin's Game|6|35|170|4.86|                                                                                                            
Chio's School Road|12|35|168|4.8|Comedy, Slice Of Life                                                                                  
Date A Live|0|35|155|4.43|Action, Comedy, Drama, Fantasy, Harem, Romance, Sci-Fi                                                        
Amanchu!|25|35|153|4.37|Comedy, Slice Of Life                                                                                           
Fan Service|0|35|146|4.17|                                                                                                              
Holy Knight|0|35|90|2.57|Drama, Fantasy, Harem, Seinen, Supernatural                                                                    
Time Taxi|0|34|165|4.85|                                                                                                                
GTO|0|34|157|4.62|Comedy                                                                                                                
Nyanko Days|12|34|149|4.38|Comedy, Slice Of Life                                                                                        
How clumsy you are, Miss Ueno.|12|34|148|4.35|Comedy, Romance, Seinen                                                                   
Hakuoki Season 1|0|34|142|4.18|                                                                                                         
Anne-Happy|12|34|140|4.12|Comedy, Slice Of Life                                                                                         
GRANBELM|13|34|134|3.94|Mecha                                                                                                           
Garakowa -Restore the World-|3|34|130|3.82|Drama, Sci-Fi                                                                                
MOBILE SUIT GUNDAM UNICORN RE:0096|22|34|123|3.62|Action, Mecha, Sci-Fi                                                                 
Trickster|0|34|111|3.26|                                                                                                                
Star Blazers: Space Battleship Yamato|0|33|155|4.7|                                                                                     
Utakoi|13|33|153|4.64|Drama, Historical, Romance                                                                                        
Nobunaga Concerto (Drama)|0|33|152|4.61|                                                                                                
Lord El-Melloi II's Case Files {Rail Zeppelin} Grace note|14|33|151|4.58|Fantasy, Mystery, Supernatural                                 
Harukana Receive|12|33|146|4.42|Drama, Sports                                                                                           
DOUBLE DECKER! DOUG & KIRILL|16|33|142|4.3|Action, Drama, Sci-Fi, Seinen                                                                
Fafner Exodus|26|33|138|4.18|Action, Adventure, Mecha, Sci-Fi                                                                           
Children of Ether|1|33|136|4.12|Action, Adventure, Seinen                                                                               
Fate/Grand Order - First Order|1|33|117|3.55|Action, Fantasy, Supernatural                                                              
URAHARA|12|33|112|3.39|Action, Adventure, Comedy, Sci-Fi, Slice Of Life                                                                 
Sparrow's Hotel|12|33|105|3.18|Action, Comedy, Seinen, Slice Of Life                                                                    
Dances with the Dragons|12|33|89|2.7|Action, Fantasy                                                                                    
BROTHERHOOD FINAL FANTASY XV|5|32|156|4.88|Action, Drama, Fantasy                                                                       
Young Black Jack|12|32|140|4.38|Drama, Historical, Seinen, Thriller                                                                     
Meiji Tokyo Renka|12|32|136|4.25|Drama, Historical, Isekai, Supernatural                                                                
Galilei Donna|11|32|109|3.41|Action, Adventure, Drama, Mystery, Sci-Fi                                                                  
Momo Kyun Sword|12|32|106|3.31|Action, Adventure, Fantasy                                                                               
Love To-LIE-Angle|12|32|106|3.31|Comedy, Romance                                                                                        
CHRONOS RULER|13|32|103|3.22|Action, Drama, Fantasy                                                                                     
Yotsuiro Biyori|12|31|152|4.9|Comedy, Slice Of Life                                                                                     
The Familiar of Zero|13|31|143|4.61|Comedy, Fantasy, Harem, Seinen                                                                      
Fushigi Yugi|0|31|136|4.39|Adventure, Drama, Fantasy, Isekai, Romance, Shojo                                                            
Comical Psychosomatic Medicine|20|31|126|4.06|Comedy, Slice Of Life                                                                     
Brave Witches|12|31|125|4.03|Action, Sci-Fi                                                                                             
Caligula|12|31|109|3.52|Action, Sci-Fi                                                                                                  
Frankenstein Family|12|31|88|2.84|Sci-Fi, Slice Of Life                                                                                 
Between the Sky and Sea|12|31|73|2.35|Adventure, Sci-Fi, Slice Of Life                                                                  
Natsume Yuujinchou 5|14|30|147|4.9|Adventure, Drama, Slice Of Life, Supernatural                                                        
Eureka Seven|0|30|146|4.87|Adventure, Drama, Mecha, Romance, Sci-Fi                                                                     
BanG Dream!|26|30|134|4.47|Comedy, Music                                                                                                
Stella Women’s Academy, High School Division Class C3|0|30|127|4.23|Action, Comedy, Drama, Shonen, Slice Of Life, Sports                
Dagashi Kashi|12|30|126|4.2|Comedy, Romance, Slice Of Life                                                                              
Mobile Suit Gundam Seed|48|30|124|4.13|Action, Mecha, Sci-Fi                                                                            
Akiba's Trip The Animation|0|30|121|4.03|Action, Comedy, Supernatural                                                                   
Mobile Suit Gundam Wing|49|30|117|3.9|Action, Mecha, Sci-Fi                                                                             
Danchigai|12|30|117|3.9|Comedy, Slice Of Life                                                                                           
Wish Upon the Pleiades|12|30|109|3.63|Action, Drama, Fantasy, Magical Girls, Sci-Fi                                                     
Strange+|24|30|105|3.5|Drama, Mystery, Thriller                                                                                         
Gunslinger Stratos THE ANIMATION|12|30|103|3.43|Action, Sci-Fi                                                                          
La corda d’oro -Blue Sky-|12|30|97|3.23|Harem, Music, Romance, Shojo, Supernatural                                                      
HAKYU HOSHIN ENGI|25|30|88|2.93|Adventure, Fantasy, Shonen, Supernatural                                                                
Try Knights|12|30|62|2.07|Action, Drama, Shojo, Sports                                                                                  
Muromi-san|13|29|136|4.69|Adventure, Comedy, Fantasy                                                                                    
SAIYUKI RELOAD BLAST|12|29|131|4.52|Action, Adventure, Drama, Fantasy, Supernatural                                                     
Zatch Bell!|0|29|129|4.45|Action, Adventure, Comedy, Fantasy, Shonen                                                                    
Re:ZERO -Starting Life in Another World- SHORTS|25|29|122|4.21|Action, Adventure, Comedy, Fantasy, Isekai, Romance, Slice Of Life       
Hinako Note|12|29|114|3.93|Comedy, Slice Of Life                                                                                        
The File of Young Kindaichi Returns|0|29|113|3.9|Adventure, Mystery, Shonen, Supernatural, Thriller                                     
Absolute Duo|0|29|105|3.62|Action, Fantasy, Romance                                                                                     
Zettai Boei Leviatan|13|29|102|3.52|Action, Adventure, Comedy, Fantasy, Slice Of Life                                                   
Fist of the Blue Sky: Regenesis|24|29|79|2.72|Action, Adventure, Shonen                                                                 
Monster Strike|159|29|75|2.59|Action, Fantasy                                                                                           
Grimms Notes the Animation|12|29|72|2.48|Action, Adventure, Fantasy                                                                     
Last Cinderella|0|28|137|4.89|                                                                                                          
Junjo Romantica|0|28|134|4.79|Drama, Romance                                                                                            
Yu-Gi-Oh! 5D's|0|28|132|4.71|Action, Fantasy, Sci-Fi, Shonen, Supernatural                                                              
Daily Lives of High School Boys|0|28|132|4.71|Comedy, Slice Of Life                                                                     
Little Nemo: Adventures in Slumberland|0|28|131|4.68|Adventure, Fantasy                                                                 
A Lull in the Sea (Nagi-Asu: Nagi no Asukara)|0|28|128|4.57|Drama, Fantasy, Romance                                                     
Moyashimon|22|28|126|4.5|Comedy, Slice Of Life                                                                                          
Boku-no-imoutowa"Osaka-okan"|12|28|96|3.43|Comedy, Slice Of Life                                                                        
Seiren|12|28|95|3.39|Romance, Slice Of Life                                                                                             
Cheating Craft|12|28|84|3.0|Action, Comedy                                                                                              
Os Cavaleiros do Zodíaco|114|27|134|4.96|                                                                                               
Mischievous Kiss 2 - Love in Okinawa|17|27|131|4.85|                                                                                    
Wakakozake (Drama)|0|27|127|4.7|Food                                                                                                    
Inugami-san to Nekoyama-san|12|27|117|4.33|Comedy, Romance                                                                              
ETOTAMA|12|27|104|3.85|Action, Comedy, Supernatural                                                                                     
True Cooking Master Boy|12|27|95|3.52|Shonen                                                                                            
Xuan Yuan Sword Luminary|13|27|89|3.3|Action, Adventure, Fantasy, Historical, Supernatural                                              
B-PROJECT|0|27|88|3.26|Idols, Romance                                                                                                   
Fan Chronicles: Um Documentário Crunchyroll|3|27|37|1.37|                                                                               
Senryu Girl|12|26|124|4.77|Comedy, Slice Of Life                                                                                        
Full Metal Panic!|0|26|124|4.77|Action, Comedy, Drama, Mecha, Sci-Fi                                                                    
Lovely Complex|24|26|123|4.73|Romance, Shojo                                                                                            
Anohana: The Flower We Saw That Day (Drama)|1|26|111|4.27|                                                                              
Anime de Training! Ex|24|26|98|3.77|Comedy, Slice Of Life                                                                               
CHAOS;CHILD|14|26|97|3.73|Mystery, Thriller                                                                                             
Code: Realize ~Guardian of Rebirth~|13|26|97|3.73|Harem, Mystery, Romance                                                               
Phantom in the Twilight|12|26|93|3.58|Drama, Fantasy, Romance, Supernatural, Thriller                                                   
Soul Buster|12|26|69|2.65|Action, Adventure, Fantasy, Historical                                                                        
Arakawa Under the Bridge|0|25|119|4.76|Comedy, Romance                                                                                  
Death Note|0|25|118|4.72|Supernatural, Thriller                                                                                         
Locodol|15|25|110|4.4|Comedy, Music, Seinen, Slice Of Life                                                                              
Encouragement Of Climb|26|25|110|4.4|Comedy, Slice Of Life, Sports                                                                      
BAKUON!!|12|25|109|4.36|Comedy, Slice Of Life                                                                                           
The Magnificent KOTOBUKI|12|25|99|3.96|Action, Adventure                                                                                
Angel's 3Piece!|12|25|93|3.72|Comedy, Music, Slice Of Life                                                                              
A Destructive God Sits Next to Me|10|25|88|3.52|Comedy, Slice Of Life                                                                   
R.O.D.|0|24|111|4.62|Action, Comedy, Drama, Sci-Fi                                                                                      
Scorching Ping Pong Girls|12|24|105|4.38|Action, Comedy, Slice Of Life, Sports                                                          
Yu-Gi-Oh! GX|0|24|103|4.29|Action, Adventure, Fantasy, Shonen, Supernatural                                                             
Switch Girl!!|0|24|99|4.12|Comedy                                                                                                       
Future Diary: Another World|0|24|97|4.04|                                                                                               
momokuri|13|24|97|4.04|Comedy, Romance                                                                                                  
The Laughing Salesman|12|24|92|3.83|Mystery, Seinen, Supernatural, Thriller                                                             
Pan de Peace!|13|24|78|3.25|Comedy, Slice Of Life                                                                                       
Straight Title Robot Anime|12|24|74|3.08|Comedy, Sci-Fi                                                                                 
Antiquarian Bookshop Biblia's Case Files|0|23|114|4.96|                                                                                 
Black Clover (Dublagens Internacionais)|52|23|113|4.91|Action, Adventure, Comedy, Fantasy, Shonen                                       
Yu-Gi-Oh! ARC-V|0|23|106|4.61|Adventure, Fantasy, Shonen, Supernatural                                                                  
Liar Game|0|23|105|4.57|                                                                                                                
Yowamushi Pedal New Generation|50|23|103|4.48|Action, Drama, Shonen, Sports                                                             
Blade Runner Black Out 2022|0|23|103|4.48|Action, Sci-Fi                                                                                
Yakitate!! Japan|0|23|102|4.43|Action, Comedy, Shonen                                                                                   
PERSONA5 the Animation -THE DAY BREAKERS-|1|23|98|4.26|Action, Mystery, Supernatural, Thriller                                          
Bokurano|0|23|96|4.17|Drama, Mecha, Sci-Fi                                                                                              
Re-Kan!|0|23|96|4.17|Comedy                                                                                                             
The Moment You Fall in Love|1|23|94|4.09|Drama, Romance, Slice Of Life                                                                  
Lychee Light Club|8|23|79|3.43|Comedy, Drama, Romance                                                                                   
ARIA The ANIMATION|0|22|107|4.86|Sci-Fi, Slice Of Life                                                                                  
MAGICAL CIRCLE GURU-GURU|24|22|103|4.68|Action, Adventure, Comedy, Fantasy                                                              
Ultraman Orb|25|22|103|4.68|                                                                                                            
Dororo Motion Magazine|0|22|102|4.64|Action, Adventure, Supernatural                                                                    
Mr. TONEGAWA Middle Management Blues|24|22|101|4.59|Comedy, Drama, Seinen                                                               
Fate/Grand Order Absolute Demonic Front: Babylonia|18|22|92|4.18|Action, Fantasy                                                        
Slow Start|12|22|91|4.14|Comedy, Slice Of Life                                                                                          
Hell Girl: Fourth Twilight|12|22|87|3.95|Drama, Supernatural                                                                            
Astro Boy Motion Magazine|0|22|82|3.73|                                                                                                 
Merc StoriA: The Apathetic Boy and the Girl in a Bottle|12|22|82|3.73|Fantasy                                                           
Fantasista Doll|0|22|80|3.64|Action, Comedy, Fantasy, Magical Girls, Sci-Fi                                                             
Takamiya Nasuno Desu!|12|22|77|3.5|Comedy, Shonen, Slice Of Life                                                                        
Aooni The Blue Monster|14|22|70|3.18|Comedy, Supernatural, Thriller                                                                     
Maerchen Maedchen|12|22|68|3.09|Fantasy, Supernatural                                                                                   
JK-Meshi!|26|22|52|2.36|Comedy, Slice Of Life                                                                                           
The Tatami Galaxy|0|21|104|4.95|                                                                                                        
Tonkatsu DJ Agetaro|12|21|97|4.62|Comedy, Music, Shonen, Slice Of Life                                                                  
Anime-Gataris|12|21|87|4.14|Comedy, Slice Of Life                                                                                       
Riddle Story of Devil|0|21|86|4.1|Drama, Mystery                                                                                        
Phoenix Motion Magazine|0|21|81|3.86|                                                                                                   
Gonna Be the Twin-Tail!!|0|21|76|3.62|Action, Comedy, Romance, Sci-Fi                                                                   
Tokyo ESP|0|21|60|2.86|Action, Comedy                                                                                                   
Lord of Vermilion: The Crimson King|12|21|54|2.57|Action, Fantasy                                                                       
The Twelve Kingdoms|0|20|97|4.85|Adventure, Fantasy, Historical, Isekai                                                                 
Gurazeni: Money Pitch|24|20|95|4.75|Comedy, Drama, Seinen, Sports                                                                       
Genshiken|13|20|90|4.5|Comedy, Seinen, Slice Of Life                                                                                    
Ooya-san wa Shishunki!|12|20|89|4.45|Comedy, Slice Of Life                                                                              
Girlish number|12|20|84|4.2|Comedy, Idols, Slice Of Life                                                                                
Future Card Buddyfight|0|20|84|4.2|Action, Sci-Fi, Shonen                                                                               
Rowdy Sumo Wrestler Matsutaro|23|20|76|3.8|Action, Comedy, Shonen, Sports                                                               
Sekko Boys|12|20|73|3.65|Comedy, Idols, Music, Slice Of Life                                                                            
elDLIVE|12|20|67|3.35|Adventure, Sci-Fi                                                                                                 
Lostorage incited WIXOSS|24|20|66|3.3|Drama, Sci-Fi, Thriller                                                                           
Military!|12|20|64|3.2|Comedy                                                                                                           
Last Period: the journey to the end of the despair|12|20|63|3.15|Action, Adventure, Comedy, Fantasy                                     
Mahou Shoujo? Naria Girls|12|20|51|2.55|Comedy, Fantasy, Shojo                                                                          
Schoolgirl Strikers|13|20|50|2.5|Action, Magical Girls, Sci-Fi, Supernatural                                                            
FOREST FAIRY FIVE|25|20|44|2.2|Fantasy                                                                                                  
Hero|0|19|92|4.84|                                                                                                                      
My Bride is a Mermaid|26|19|91|4.79|                                                                                                    
KAGEWANI|26|19|85|4.47|Mystery, Sci-Fi, Thriller                                                                                        
Gifu Dodo!! Kanetsugu and Keiji|25|19|80|4.21|Action, Historical                                                                        
VOICE OF FOX|12|19|78|4.11|Drama, Music, Slice Of Life                                                                                  
Starlight Promises|1|19|78|4.11|Drama, Fantasy, Historical, Romance                                                                     
DearS|0|19|69|3.63|Comedy, Harem, Romance, Sci-Fi                                                                                       
Mahou Shoujo Nante Mouiidesukara|24|19|64|3.37|Comedy, Fantasy                                                                          
Hakone-chan|13|19|57|3.0|Comedy, Slice Of Life, Supernatural                                                                            
LUPIN THE 3rd PART4|26|18|88|4.89|Action, Adventure, Mystery, Seinen                                                                    
Muhyo & Roji's Bureau of Supernatural Investigation|12|18|73|4.06|Mystery, Supernatural                                                 
Magic-Kyun! Renaissance|13|18|72|4.0|Music, Romance, Supernatural                                                                       
Wakaba Girl|13|18|72|4.0|Comedy, Slice Of Life                                                                                          
A Town Where You Live|0|18|71|3.94|Drama, Romance, Shonen                                                                               
Libra of Nil Admirari|12|18|71|3.94|Historical, Romance                                                                                 
Samurai Warriors|13|18|68|3.78|Action, Fantasy, Historical                                                                              
FLCL|12|18|66|3.67|Action, Comedy, Drama, Mecha, Sci-Fi                                                                                 
Monster Hunter Stories Ride On|0|18|57|3.17|Adventure, Fantasy                                                                          
Fight League: Gear Gadget Generators|26|18|56|3.11|Action, Mecha, Sci-Fi                                                                
HIMOTE HOUSE: A share house of super psychic girls|12|18|48|2.67|Comedy                                                                 
The Irresponsible Galaxy Tylor|12|18|26|1.44|Adventure, Comedy, Sci-Fi                                                                  
LUPIN THE 3rd PART 5|24|17|83|4.88|Action, Adventure, Mystery, Seinen                                                                   
The Case Files of Jeweler Richard|11|17|81|4.76|Drama, Seinen, Slice Of Life                                                            
Champion Joe 2|47|17|81|4.76|Action, Drama, Sports                                                                                      
Please Teacher!|0|17|75|4.41|Comedy, Drama, Romance, Sci-Fi                                                                             
Samurai Jam-Bakumatsu Rock|12|17|73|4.29|Action, Comedy, Drama, Historical, Idols, Music, Sci-Fi                                        
Gangsta.|0|17|73|4.29|Action, Drama, Seinen                                                                                             
DD Fist of the North Star|25|17|72|4.24|Comedy, Fantasy, Shonen, Slice Of Life                                                          
Blue Submarine No. 6|0|17|59|3.47|Action, Drama, Sci-Fi                                                                                 
Mangirl!|13|17|57|3.35|Comedy, Shonen                                                                                                   
RWBY VOLUME 1-3: The Beginning|13|17|57|3.35|Action, Adventure, Drama, Fantasy, Sci-Fi                                                  
Majin Bone|52|17|56|3.29|Action, Fantasy, Isekai, Shonen                                                                                
Pikotaro no LULLABY LA LA BY|12|16|76|4.75|Comedy, Slice Of Life                                                                        
ENDRO!|12|16|76|4.75|Fantasy, Slice Of Life                                                                                             
MOBILE SUIT GUNDAM THE ORIGIN Advent of the Red Comet|13|16|75|4.69|Action, Mecha, Sci-Fi                                               
MAJOR 2nd|25|16|74|4.62|Shonen, Sports                                                                                                  
Anima Yell!|12|16|74|4.62|Comedy, Slice Of Life, Sports                                                                                 
Hi-sCool! Seha Girls|13|16|69|4.31|Comedy, Slice Of Life                                                                                
The Princess and the Pilot|0|16|68|4.25|Action, Adventure, Drama, Romance                                                               
Crunchycast|0|16|67|4.19|                                                                                                               
Z/X IGNITION|12|16|64|4.0|Action, Adventure, Fantasy, Shonen                                                                            
Yu-Gi-Oh! ZEXAL|0|16|64|4.0|Action, Fantasy, Sci-Fi, Shonen, Supernatural                                                               
Hackadoll THE ANIMATION|13|16|62|3.88|Comedy                                                                                            
Gundam Build Divers|39|16|60|3.75|Action, Mecha, Sci-Fi, Slice Of Life                                                                  
Onara Goro|11|16|57|3.56|Comedy, Slice Of Life                                                                                          
VIRTUALSAN - LOOKING|12|16|50|3.12|Comedy                                                                                               
Wagamama High Spec|12|16|42|2.62|Comedy, Slice Of Life                                                                                  
Taisho Mebiusline Chicchaisan|13|16|33|2.06|Adventure, Historical, Supernatural                                                         
Outlaw Star|0|15|71|4.73|                                                                                                               
Ninja Girl & Samurai Master|79|15|70|4.67|Action, Adventure, Comedy, Historical                                                         
Tiger Mask W|38|15|70|4.67|Action, Drama, Shonen, Sports                                                                                
JOKER|52|15|66|4.4|Adventure, Comedy, Mystery, Shonen                                                                                   
Donyatsu|12|15|65|4.33|Comedy, Post-Apocalyptic                                                                                         
Tribe Cool Crew|50|15|64|4.27|Action, Comedy, Slice Of Life, Sports                                                                     
Kyo Kara Maoh|0|15|63|4.2|Adventure, Comedy, Fantasy, Harem, Isekai, Supernatural                                                       
Cardfight!! Vanguard Asia Circuit (Season 2)|0|15|62|4.13|                                                                              
AMAZING STRANGER|12|15|56|3.73|Comedy, Romance                                                                                          
Fullmetal Alchemist: The Conqueror of Shamballa|1|15|54|3.6|Action, Adventure, Drama, Fantasy, Shonen                                   
Yatogame-chan Kansatsu Nikki|23|15|48|3.2|Comedy, Shonen, Slice Of Life                                                                 
Mobile Suit Gundam Seed Destiny|50|15|45|3.0|Action, Mecha, Sci-Fi                                                                      
Squishy! Black Clover|8|15|42|2.8|Action, Comedy, Fantasy, Shonen                                                                       
The Eccentric Family 2|12|14|69|4.93|Comedy, Drama, Fantasy, Slice Of Life, Supernatural                                                
Yurikuma Arashi|0|14|66|4.71|Comedy, Drama, Fantasy, Romance, Seinen, Supernatural                                                      
Traveling Daru|0|14|65|4.64|Adventure, Comedy, Slice Of Life                                                                            
Mitchiri Neko|13|14|62|4.43|Comedy, Slice Of Life                                                                                       
Asteroid in Love|12|14|61|4.36|Comedy, Romance, Slice Of Life                                                                           
Ultraman X|24|14|60|4.29|                                                                                                               
Cardfight!! Vanguard Link Joker (Season 3)|0|14|60|4.29|Action                                                                          
The Dragon Dentist|2|14|59|4.21|Action, Adventure, Fantasy, Supernatural                                                                
Touken Ranbu - Hanamaru|24|14|56|4.0|Action, Comedy, Drama, Fantasy, Historical, Slice Of Life                                          
Tesagure! Bukatsumono|36|14|54|3.86|Comedy, Slice Of Life                                                                               
Crossing Time|12|14|54|3.86|Comedy, Romance, Slice Of Life                                                                              
Peeping Life TV Season 1??|12|14|49|3.5|Comedy                                                                                          
Nurse Witch KOMUGI R|12|14|48|3.43|Comedy, Fantasy, Idols                                                                               
Cardfight!! Vanguard G|0|14|48|3.43|Action, Comedy, Drama                                                                               
You Don't Know Gunma Yet|12|14|44|3.14|Comedy, Slice Of Life, Thriller                                                                  
OZMAFIA!!|12|14|42|3.0|Comedy, Fantasy, Romance, Slice Of Life                                                                          
HEYBOT!|50|14|40|2.86|Comedy, Sci-Fi                                                                                                    
Anime Academy|0|14|37|2.64|                                                                                                             
Library War|0|13|63|4.85|Action, Romance                                                                                                
MIX|0|13|63|4.85|Shonen, Sports                                                                                                         
Crazy For Me|0|13|61|4.69|Comedy                                                                                                        
Space Battleship Tiramisu|0|13|60|4.62|Comedy, Mecha, Sci-Fi, Seinen, Slice Of Life                                                     
Os Cavaleiros do Zodíaco - Saga de Hades|62|13|59|4.54|                                                                                 
Tabimachi Lateshow|4|13|59|4.54|Drama, Seinen, Slice Of Life                                                                            
IRYU - Team Medical Dragon|0|13|59|4.54|                                                                                                
Deltora Quest|0|13|58|4.46|Adventure, Fantasy                                                                                           
Wooser's Hand-to-Mouth Life|24|13|49|3.77|Comedy, Slice Of Life                                                                         
Girl Friend BETA|12|13|48|3.69|Romance, Slice Of Life                                                                                   
World Fool News|12|13|47|3.62|Comedy, Slice Of Life                                                                                     
Love Rice|24|13|45|3.46|Comedy, Slice Of Life                                                                                           
Tenjho Tenge|0|13|35|2.69|Action, Seinen, Supernatural                                                                                  
Kaiba|0|12|60|5.0|Adventure, Drama, Fantasy, Romance, Sci-Fi                                                                            
BONO BONO|154|12|59|4.92|Comedy, Slice Of Life                                                                                          
Hikaru no Go|0|12|58|4.83|Fantasy, Sports                                                                                               
MARGINAL #4 the Animation|12|12|54|4.5|Idols, Slice Of Life                                                                             
Miss Bernard said.|12|12|53|4.42|Comedy, Slice Of Life                                                                                  
Cinderella Nine|12|12|51|4.25|Drama, Slice Of Life, Sports                                                                              
Gunbuster 2|0|12|51|4.25|Action, Drama, Mecha, Sci-Fi                                                                                   
Koro Sensei Quest!|0|12|51|4.25|Comedy, Fantasy, Shonen                                                                                 
Nyanbo!|26|12|49|4.08|Comedy, Sci-Fi                                                                                                    
Null & Peta|12|12|47|3.92|Comedy, Slice Of Life                                                                                         
Ceres, Celestial Legend|0|12|46|3.83|Drama, Romance, Supernatural                                                                       
Sorcery in the Big City|1|12|45|3.75|Action, Adventure, Fantasy, Mystery, Supernatural                                                  
DREAM FESTIVAL!|24|12|44|3.67|Drama, Idols, Music                                                                                       
Tantei Team KZ Jiken Note|16|12|44|3.67|Mystery                                                                                         
Butlers X Battlers|12|12|39|3.25|Action, Supernatural                                                                                   
This Boy Suffers from Crystallization|0|12|38|3.17|Drama, Fantasy, Romance                                                              
Milpom|6|12|32|2.67|Comedy                                                                                                              
Urawa no Usagi-chan|12|12|31|2.58|Comedy, Slice Of Life                                                                                 
BAKUMATSU|24|12|28|2.33|Action                                                                                                          
Dr. Coto's Clinic|0|11|55|5.0|                                                                                                          
Detective vs Detectives|0|11|55|5.0|                                                                                                    
Samurai Troopers|0|11|54|4.91|Action, Adventure, Drama, Fantasy, Historical, Shonen, Supernatural                                       
Gundam Build Fighters|50|11|54|4.91|Action, Mecha, Sci-Fi, Slice Of Life                                                                
Cromartie High School|0|11|52|4.73|Comedy, Shonen                                                                                       
Oda Cinnamon Nobunaga|11|11|51|4.64|Comedy                                                                                              
Mobile Fighter G Gundam|49|11|49|4.45|Action, Mecha, Sci-Fi                                                                             
Magia Record: Puella Magi Madoka Magica Side Story|10|11|49|4.45|Fantasy                                                                
Starmyu|24|11|48|4.36|Comedy, Idols, Music, Slice Of Life                                                                               
ROOM CAMP|11|11|47|4.27|Comedy, Slice Of Life                                                                                           
Akagi (Drama)|10|11|47|4.27|                                                                                                            
KING OF PRISM -Shiny Seven Stars-|12|11|46|4.18|Idols, Music, Sports                                                                    
Robot Girls Z|9|11|46|4.18|Comedy, Fantasy, Mecha, Sci-Fi                                                                               
Piacevole|12|11|45|4.09|Comedy, Slice Of Life                                                                                           
Our Home's Fox Deity|0|11|45|4.09|Comedy, Drama, Fantasy, Slice Of Life, Supernatural                                                   
ClassicaLoid|25|11|43|3.91|Comedy, Music, Sci-Fi                                                                                        
Magical Somera-chan|12|11|41|3.73|Comedy                                                                                                
NINJA SLAYER FROM ANIMATION|0|11|40|3.64|Action, Comedy, Sci-Fi, Shonen                                                                 
DEMIAN|0|11|39|3.55|Action, Mecha, Sci-Fi                                                                                               
PES: Peace Eco Smile|0|11|33|3.0|                                                                                                       
TWOCAR|12|11|28|2.55|Action, Seinen, Sports                                                                                             
Wonder Momo|5|11|25|2.27|Action, Idols, Magical Girls, Sci-Fi                                                                           
Call to Cosplay|0|11|22|2.0|                                                                                                            
A Talk on Titan|0|11|18|1.64|                                                                                                           
We Rent Tsukumogami|12|10|50|5.0|Drama, Fantasy, Historical, Romance, Supernatural                                                      
Why Did You Come to Japan?|0|10|50|5.0|                                                                                                 
Flame of Recca|0|10|50|5.0|Action, Adventure, Shonen, Supernatural                                                                      
Book Girl|1|10|49|4.9|Drama, Mystery, Romance                                                                                           
Hard To Say I Love You|0|10|47|4.7|                                                                                                     
Princess Nine|0|10|46|4.6|Action, Drama, Sports                                                                                         
Bludgeoning Angel Dokuro-chan|0|10|46|4.6|Comedy, Magical Girls, Romance                                                                
Full Metal Panic? Fumoffu|0|10|46|4.6|Action, Comedy, Mecha, Slice Of Life                                                              
Jin Roh|0|10|45|4.5|Drama, Romance, Sci-Fi, Thriller                                                                                    
Hina Logic - from Luck & Logic|12|10|43|4.3|Action, Comedy, Fantasy                                                                     
Da Capo III|13|10|43|4.3|Comedy, Drama, Harem, Romance                                                                                  
DRAGON COLLECTION|0|10|40|4.0|Action, Adventure, Fantasy                                                                                
ANISAVA|0|10|40|4.0|Comedy, Slice Of Life                                                                                               
Minami Kamakura High School Girls Cycling Club|13|10|40|4.0|Slice Of Life, Sports                                                       
